,id,content,content_clean,sentiment,subjectivity,polarity,analysis
23,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cQ6pyGEDgh,you haven't seen the black one,you havent seen the black one,3,0.43333333333333335,-0.16666666666666666,Negative
24,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cPxKA83hDl,@Surf alcatraz youre getting dragged 😆, alcatraz youre getting dragged 😆,1,0.0,0.0,Neutral
25,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cPCZWQTl3S,@Surf alcatraz just go through the minor inconvenience of not getting lost to begin with. thats how we managed before mobile phones., alcatraz just go through the minor inconvenience of not getting lost to begin with thats how we managed before mobile phones,3,0.2,-0.05,Negative
26,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cPBUR94rCK,@Kaviraj Nosib He's trying to make himself feel better about the fact that no one gaf about his Leon., Nosib Hes trying to make himself feel better about the fact that no one gaf about his Leon,3,0.5,0.5,Positive
27,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cOa1mfiQpr,automatic. throwing the fuck up rn,automatic throwing the fuck up rn,1,0.6,-0.4,Negative
28,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cORmVulLGc,"Centodieci is not a daily-drive vehicle, so the customer won't need a display screen on the dashboard
He'll get that in his Urus or whatever everyday SUV he drives..","Centodieci is not a dailydrive vehicle so the customer wont need a display screen on the dashboard
Hell get that in his Urus or whatever everyday SUV he drives",2,0.6,-0.2,Negative
29,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cOEukXMN44,@Surf alcatraz yes of course you need an infotainment system in that ugly car and I have a red seat leon cupra 2003 at home which is a beautiful car and does not need infotainment, alcatraz yes of course you need an infotainment system in that ugly car and I have a red seat leon cupra 2003 at home which is a beautiful car and does not need infotainment,3,0.6666666666666666,0.05000000000000001,Positive
30,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cOEiRF9APh,@Surf alcatraz yes of course you need an infotainment system in that ugly piece of shit and I have a red seat leon cupra 2003 at home which is a beautiful car, alcatraz yes of course you need an infotainment system in that ugly piece of shit and I have a red seat leon cupra 2003 at home which is a beautiful car,1,0.7,-0.012499999999999983,Negative
31,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cNzQoesXQQ,"@Surf alcatraz big cap XD 1,2S OFF when ecu tuning. no, 0-100kmh 4s top speed 230kmh 100-200 20s?", alcatraz big cap XD 12S OFF when ecu tuning no 0100kmh 4s top speed 230kmh 100200 20s,1,0.3,0.25,Positive
32,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cNsCl7CTSN,@Surf alcatraz What sort of point are you trying to get across? How can you even compare a normal daily drivers car (Your Seat Leon) to a car that is worth millions and wouldn't be used as a daily driver., alcatraz What sort of point are you trying to get across How can you even compare a normal daily drivers car Your Seat Leon to a car that is worth millions and wouldnt be used as a daily driver,1,0.18749999999999997,0.11249999999999999,Positive
33,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cNg89YusW8,"@Dodoking86  i mean if your phone is out of charge and you're in the middle of nowhere, then does 1500 hp help?",  i mean if your phone is out of charge and youre in the middle of nowhere then does 1500 hp help,3,0.34375,-0.15625,Negative
34,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cNIsA76vri,"@Surf alcatraz it only doesn't have a screen, you can still connect your phone to it. You also don't need a screen in a Bugatti given that as a Bugatti owner you could probably afford a standalone GPS system", alcatraz it only doesnt have a screen you can still connect your phone to it You also dont need a screen in a Bugatti given that as a Bugatti owner you could probably afford a standalone GPS system,3,1.0,0.0,Neutral
35,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cNBeq1lSiw,@Surf alcatraz Does a 1500hp+ car need infotainment?, alcatraz Does a 1500hp car need infotainment,5,0.0,0.0,Neutral
36,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cMdrtdfXnq,"@[ E L I ] ye😂

Fair to say, she thirsty"," E L I  ye😂

Fair to say she thirsty",2,0.9,0.7,Positive
37,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cLaVcXEvF-,"@Surf alcatraz does your cupra have history. Legacy. 
 No."," alcatraz does your cupra have history Legacy 
 No",3,0.0,0.0,Neutral
38,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cLY3avP0-4,It’s a safety feature.,It’s a safety feature,4,0.0,0.0,Neutral
39,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cKOzE17igV,@[ E L I ] 😁😁😁, E L I  😁😁😁,5,0.0,0.0,Neutral
40,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cKA71AbQ6k,"but tbh looking at the stark blue paint + that silver wheel, made it looked like sort of a lawnmower/tractor to me",but tbh looking at the stark blue paint  that silver wheel made it looked like sort of a lawnmowertractor to me,3,0.35,-0.1,Negative
41,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cK8YKoLyjz,@PB&J Racing • 14 years ago  But they're helpful. And if you're gonna argue cars look uglier with infotainment systems then why not look at the skyline gtr? it had an infotainment system and its one of the most timeless and beautiful cars ever.,J Racing • 14 years ago  But theyre helpful And if youre gonna argue cars look uglier with infotainment systems then why not look at the skyline gtr it had an infotainment system and its one of the most timeless and beautiful cars ever,4,0.75,0.675,Positive
42,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cK3tMVwB2s,White was better but this color fits the legacy more,White was better but this color fits the legacy more,3,0.3333333333333333,0.3333333333333333,Positive
43,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cK-1YC2GuA,@JUL'MDAMA'S LEFT TOE well this will be track god but the veyron and chiron aren’t really for tracking unless it’s a dragstrip,MDAMAS LEFT TOE well this will be track god but the veyron and chiron aren’t really for tracking unless it’s a dragstrip,3,0.1,0.1,Positive
44,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cJxeUTUDPv,That's Y Bluetooth Speaker were Invented!,Thats Y Bluetooth Speaker were Invented,2,0.0,0.0,Neutral
45,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cIwAxB1M3l,I know right,I know right,5,0.5357142857142857,0.2857142857142857,Positive
46,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cIteddDByu,Agreed,Agreed,4,0.0,0.0,Neutral
47,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cInyMJEthS,"@iiBADkARMAii quad turbo W16?!, damn the gas tank is a black hole", quad turbo W16 damn the gas tank is a black hole,1,0.43333333333333335,-0.16666666666666666,Negative
48,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cIZVuNYp6V,Oh heyo! Didn't expect to bump into you here!,Oh heyo Didnt expect to bump into you here,1,0.0,0.0,Neutral
49,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cIRNJYRWGN,"A little bit to cheap for me, but the spec is really nice and better as the white one ❕👌🏼😅",A little bit to cheap for me but the spec is really nice and better as the white one ❕👌🏼😅,4,0.54,0.2625,Positive
50,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cIGpA1BT-B,@Surf alcatraz does your Cupra Leon have a Quad Turbo W16?, alcatraz does your Cupra Leon have a Quad Turbo W16,5,0.0,0.0,Neutral
51,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cIAOP6L1xF,@Surf alcatraz infotainment systems are ugly as sin, alcatraz infotainment systems are ugly as sin,1,1.0,-0.7,Negative
52,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cIAGVqvwIr,"Bet his cupra has a better mpg and is more economical. And it does 0 to 60 in 3.5s, more than enough.",Bet his cupra has a better mpg and is more economical And it does 0 to 60 in 35s more than enough,3,0.58,0.36,Positive
53,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cHxftfI7h1,Bugatti is playing the long game,Bugatti is playing the long game,4,0.4,-0.225,Negative
54,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cHhwIP2hxA,@Surf alcatraz asked?, alcatraz asked,3,0.0,0.0,Neutral
55,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cHdMkL5uvg,Agreed,Agreed,4,0.0,0.0,Neutral
56,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cHYQvsW4ur,"@No Name  Yes, infact in 4.7s when it was stock. now its above 3.5s", Name  Yes infact in 47s when it was stock now its above 35s,1,0.1,0.0,Neutral
57,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cH2C6hSSP8,@Surf alcatraz does your cupra do 0-60 at all?, alcatraz does your cupra do 060 at all,5,0.0,0.0,Neutral
58,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cGsBqwLVeC,My saturn got better gas mileage.,My saturn got better gas mileage,3,0.5,0.5,Positive
59,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cGpk52ziZH,"@Surf alcatraz your Seat Leon will look dated in 5 years, if it hasn't dated already.
This won't."," alcatraz your Seat Leon will look dated in 5 years if it hasnt dated already
This wont",1,0.0,0.0,Neutral
60,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cG9A1UaVHm,@Surf alcatraz that is because they want the interior to be timeless. imagene how ugly a screen will look in 100 years, alcatraz that is because they want the interior to be timeless imagene how ugly a screen will look in 100 years,1,1.0,-0.7,Negative
61,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cG2UoCC1eo,"@Surf alcatraz You dont buy a bugatti to GPS your way through london listening to spotify? You buy it either as a collector item, Flex item, Or track god.", alcatraz You dont buy a bugatti to GPS your way through london listening to spotify You buy it either as a collector item Flex item Or track god,1,0.0,0.0,Neutral
62,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cG2EPQw5JR,"This ain't a sh*t box like your seat Leon, and this does have a infotainment system, the exhaust notes alone are enough to listen to all day long",This aint a sht box like your seat Leon and this does have a infotainment system the exhaust notes alone are enough to listen to all day long,4,0.45,-0.025,Negative
63,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cG0KZ7vfdj,@Surf alcatraz is ur cupra limited production?, alcatraz is ur cupra limited production,3,0.14285714285714285,-0.07142857142857142,Negative
64,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cFzUBje76D,Your cupra in a year will lose its value price down to 20% and the interior plus the roof will age in 2-3 years😅,Your cupra in a year will lose its value price down to 20 and the interior plus the roof will age in 23 years😅,2,0.2888888888888889,-0.15555555555555559,Negative
65,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cFwXqEIpBI,@Surf alcatraz does your cupra Leon have an interior that won't age for at least 10 (or even 20) years?, alcatraz does your cupra Leon have an interior that wont age for at least 10 or even 20 years,3,0.4,-0.3,Negative
66,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cFushEe6ob,@Surf alcatraz Does your Cupra leon have over 1500hp?, alcatraz Does your Cupra leon have over 1500hp,5,0.0,0.0,Neutral
67,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cFuXpT5dgu,its an 8 million dollar car and it doesn't have an infotainment system. My cupra leon has it,its an 8 million dollar car and it doesnt have an infotainment system My cupra leon has it,1,0.0,0.0,Neutral
68,UgxNwRSzjSOjz2Bfcep4AaABAg,"From an engineering and artistic point of view, this is a masterpiece! I wish that the ""lucky"" one that owns this will drive it (as much as possible) so that everyone can at least look at this and not ""store it"" in a fancy garage just for the sole purpose of selling it years later for a profit.",From an engineering and artistic point of view this is a masterpiece I wish that the lucky one that owns this will drive it as much as possible so that everyone can at least look at this and not store it in a fancy garage just for the sole purpose of selling it years later for a profit,5,0.5805555555555556,0.06111111111111111,Positive
69,UgxNwRSzjSOjz2Bfcep4AaABAg.9cVOwEUj_hb9cX4CxeLuFc,Probz end up in the Crown princes garage,Probz end up in the Crown princes garage,4,0.0,0.0,Neutral
70,UgxNwRSzjSOjz2Bfcep4AaABAg.9cVOwEUj_hb9cWvcThEt4P,I’ve never understood that. We’re all gonna die sooner or later. I don’t get how people can just let their cars sit like that. What’s the point of making money off of it later when you’re gonna get old and die anyways? Why not enjoy it?,I’ve never understood that We’re all gonna die sooner or later I don’t get how people can just let their cars sit like that What’s the point of making money off of it later when you’re gonna get old and die anyways Why not enjoy it,1,0.175,-0.025,Negative
71,UgxNwRSzjSOjz2Bfcep4AaABAg.9cVOwEUj_hb9cWpt20U9H7,"@Richard the Lion Heart well, mentioning Mona Lisa kind of proves my point. Imagine if that was always in “closed circuit” (not displayed in public), would we ever know/talk about it? Anyway, I get your point also, it’s expensive, risks etc etc, but I also think  that who can afford to buy might not be stressed on things like these 😀", the Lion Heart well mentioning Mona Lisa kind of proves my point Imagine if that was always in “closed circuit” not displayed in public would we ever knowtalk about it Anyway I get your point also it’s expensive risks etc etc but I also think  that who can afford to buy might not be stressed on things like these 😀,4,0.35333333333333333,0.059999999999999984,Positive
72,UgxNwRSzjSOjz2Bfcep4AaABAg.9cVOwEUj_hb9cWVvmlifxa,Ha ha Ha. Would you drive the Mona Lisa ???,Ha ha Ha Would you drive the Mona Lisa ,5,0.0,0.0,Neutral
73,UgxNwRSzjSOjz2Bfcep4AaABAg.9cVOwEUj_hb9cWSoECWoxW,These are type of cars you ride until the wheels fall off !!! Obviously with respect the car is an absolute masterpiece of machinery I hope to see it on the road one day !!,These are type of cars you ride until the wheels fall off  Obviously with respect the car is an absolute masterpiece of machinery I hope to see it on the road one day ,5,0.7,0.1,Positive
74,UgxNwRSzjSOjz2Bfcep4AaABAg.9cVOwEUj_hb9cWFrItJ_Vc,But you know very well this is exactly what they are going to do,But you know very well this is exactly what they are going to do,5,0.275,0.225,Positive
75,UgypNSeeo65YPy2i71p4AaABAg,"As gorgeous as that Centodieci is, that EB110 is just absolutely stunning, what a masterpiece",As gorgeous as that Centodieci is that EB110 is just absolutely stunning what a masterpiece,5,0.95,0.6,Positive
76,UgzM7DHXi1I39YpcmrZ4AaABAg,I can't even imagine being at a point of wealth and prestige to be able to own that car. Mind blowing,I cant even imagine being at a point of wealth and prestige to be able to own that car Mind blowing,5,0.8125,0.55,Positive
77,UgzM7DHXi1I39YpcmrZ4AaABAg.9cTUosn50BG9cU0VIQlii3,@VK but this is a call back to the eb110 which is what shaped modern Bugatti, but this is a call back to the eb110 which is what shaped modern Bugatti,4,0.15,0.1,Positive
78,UgzM7DHXi1I39YpcmrZ4AaABAg.9cTUosn50BG9cTkUBztud1,Chiron looks better anyway.,Chiron looks better anyway,3,0.5,0.5,Positive
79,UgwdCRYxkemVfNJk7il4AaABAg,"Absolutely gorgeous, the team outdid themselves! 🤟🏼🔥",Absolutely gorgeous the team outdid themselves 🤟🏼🔥,5,0.9,0.7,Positive
80,UgzwNJDFRxZGGmaZtIZ4AaABAg,"Imagine Ettore Buggatti being alive, and to see his company's legacy still being as prestiene as it used to be. How proud he'd really be....",Imagine Ettore Buggatti being alive and to see his companys legacy still being as prestiene as it used to be How proud hed really be,5,0.5333333333333333,0.3666666666666667,Positive
81,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cX1kn7r4Sg,Why is bg music name?!,Why is bg music name,1,0.0,0.0,Neutral
82,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cWXGqqzrLX,Pointless development,Pointless development,1,0.5,-0.25,Negative
83,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cWJmZbfaKL,For his name to be pasted on a VW product?,For his name to be pasted on a VW product,4,0.0,0.0,Neutral
84,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cW27OjVjig,"@JUICY__ PLANE It's what the internet is for, right? /s", PLANE Its what the internet is for right s,5,0.5357142857142857,0.2857142857142857,Positive
85,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cVg0Stsrz4,Same with steve jobs with his apple,Same with steve jobs with his apple,3,0.125,0.0,Neutral
86,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cVg-M38zTU,I'm sure of it he would not like it,Im sure of it he would not like it,2,0.8888888888888888,0.5,Positive
87,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cVRHL_jUzD,Thanks to VW,Thanks to VW,5,0.2,0.2,Positive
88,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cVR4hMHAEl,@Jackal of Hadouken! soy, of Hadouken soy,1,0.0,0.0,Neutral
89,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cVQylUGANk,Thanks to VW,Thanks to VW,5,0.2,0.2,Positive
90,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cVPI0CTMdb,Ettore would ask for a cheque.,Ettore would ask for a cheque,3,0.0,0.0,Neutral
91,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cVG7wnR9dY,well i dont he might be happy about the company loses millions per car,well i dont he might be happy about the company loses millions per car,2,0.55,0.25,Positive
92,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cVFI66jNSu,"@Obama Lore Not really, the modern company can be traced more directly to the VW Company that formed after WW2 with the consent of the British occupation forces. 

They began work in a former factory that was used by the Nazis, yes, but the company itself was essentially brand new. The name, despite what people think, isn't a reflection of Nazism either. Hitler named the car ""KDF-Wagen"" or ""Strenght Through Joy Car"". The VW factory, wanting to distance itself from the Nazis (at this point under control of the British occupation forces) renamed the factory to ""Volks Wagen"" and began production of the formerly prototype KDF Wagen, which would become known as the VW Type 1, or Beetle."," Lore Not really the modern company can be traced more directly to the VW Company that formed after WW2 with the consent of the British occupation forces 

They began work in a former factory that was used by the Nazis yes but the company itself was essentially brand new The name despite what people think isnt a reflection of Nazism either Hitler named the car KDFWagen or Strenght Through Joy Car The VW factory wanting to distance itself from the Nazis at this point under control of the British occupation forces renamed the factory to Volks Wagen and began production of the formerly prototype KDF Wagen which would become known as the VW Type 1 or Beetle",2,0.2140495867768595,0.14876033057851237,Positive
93,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cUasM7eigY,You're words get mr goosebumps bro,Youre words get mr goosebumps bro,1,0.0,0.0,Neutral
94,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cUY5GGAnKB,"He would be fucking disappointed.
Bugatti used to won races, be the best at competitions. Now the cars barely drive if they even leave their garage.
He would be sincerely ashamed","He would be fucking disappointed
Bugatti used to won races be the best at competitions Now the cars barely drive if they even leave their garage
He would be sincerely ashamed",1,0.41250000000000003,0.2,Positive
95,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cUSkIJMcr0,Yeah he will,Yeah he will,5,0.0,0.0,Neutral
96,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cU1wtijyKC,Doesn't matter i can't afford it..,Doesnt matter i cant afford it,3,0.0,0.0,Neutral
97,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cTgIMnn95i,@Jackal of Hadouken! and a majority of weapons designed after 1945 were heavily influenced by Nazi weapons. Do something about it, of Hadouken and a majority of weapons designed after 1945 were heavily influenced by Nazi weapons Do something about it,2,0.5,-0.2,Negative
98,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cTWZLnRGRE,especially bugatti being a german car now,especially bugatti being a german car now,1,0.5,0.0,Neutral
99,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cTWEDlUZXC,He never heard of Volkswagen…..,He never heard of Volkswagen…,1,0.0,0.0,Neutral
100,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cTQ1C-kbvj,'Prestiene'? What DO you think that means?,Prestiene What DO you think that means,5,0.0,0.0,Neutral
101,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cTMxOvhPFR,He would have been horrified by the thought of Germans owning his company,He would have been horrified by the thought of Germans owning his company,2,0.0,0.0,Neutral
102,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cTGRwg9dgd,"☁️       ☁️            ☁️         🌚
                 ☁️                         
          ☁️                🚀        ☁️       
    ☁️       ☁️       *        ☁️
       ☁️            *      ☁️        ☁️
                    *             
                *
            *
       💥
TO THE MOON","☁️       ☁️            ☁️         🌚
                 ☁️                         
          ☁️                🚀        ☁️       
    ☁️       ☁️               ☁️
       ☁️                  ☁️        ☁️
                                 
                
            
       💥
TO THE MOON",5,0.0,0.0,Neutral
103,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cSx7zQta7N,Is it thought?,Is it thought,3,0.0,0.0,Neutral
104,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cSgGaaSo4e,Bugatti*,Bugatti,3,0.0,0.0,Neutral
105,UgzwNJDFRxZGGmaZtIZ4AaABAg.9cFRx4nhsyB9cSa26sLnvo,"Well, koenigsegg and rimac founder is still alive..",Well koenigsegg and rimac founder is still alive,5,0.4,0.1,Positive
